year,timecode,return
2011,CY,13.739137914950447
2010,1Y,9.475633471992083
2009,2Y,-12.327810776764906
2008,3Y,0
2007,4Y,0
2012,CY,2.7270514528437824
2011,1Y,13.739137914950447
2010,2Y,9.475633471992083
2009,3Y,-12.327810776764906
2008,4Y,0
2013,CY,7.577061658829109
2012,1Y,2.7270514528437824
2011,2Y,13.739137914950447
2010,3Y,9.475633471992083
2009,4Y,-12.327810776764906
2014,CY,12.86574488811638
2013,1Y,7.577061658829109
2012,2Y,2.7270514528437824
2011,3Y,13.739137914950447
2010,4Y,9.475633471992083
2015,CY,4.617111527194574
2014,1Y,12.86574488811638
2013,2Y,7.577061658829109
2012,3Y,2.7270514528437824
2011,4Y,13.739137914950447
2016,CY,-2.354119318315401
2015,1Y,4.617111527194574
2014,2Y,12.86574488811638
2013,3Y,7.577061658829109
2012,4Y,2.7270514528437824
